name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
extension_in_public,Extension in Public,WARN,EXTERNAL,"[""SECURITY""]",Detects extensions installed in the \`public\` schema.,Extension \`pg_net\` is installed in the public schema. Move it to another schema.,https://supabase.com/docs/guides/database/database-linter?lint=0014_extension_in_public,"{""name"":""pg_net"",""type"":""extension"",""schema"":""public""}",extension_in_public_pg_net
auth_leaked_password_protection,Leaked Password Protection Disabled,WARN,EXTERNAL,"[""SECURITY""]",Leaked password protection is currently disabled.,Supabase Auth prevents the use of compromised passwords by checking against HaveIBeenPwned.org. Enable this feature to enhance security.,https://supabase.com/docs/guides/auth/password-security#password-strength-and-leaked-password-protection,"{""type"":""auth"",""entity"":""Auth""}",auth_leaked_password_protection
